date,zip,er_visits,max_heat_index
2022-07-23,11212,37,85.5
2022-07-24,11212,26,81.3
2022-07-25,11212,29,91.5
2022-07-26,11212,15,90.1
2022-07-27,11212,37,82.1
2022-07-28,11212,31,87.7
2022-07-29,11212,32,91.9
2022-07-30,11212,24,86.5
2022-07-31,11212,34,83.2
2022-08-01,11212,34,93.4
2022-08-02,11212,41,97.9
2022-08-03,11212,39,89.5
2022-08-04,11212,32,83.7
2022-08-05,11212,30,89.9
2022-08-06,11212,30,87.9
2022-08-07,11212,37,83.3
2022-08-08,11212,41,88.6
2022-08-09,11212,42,87.9
2022-08-10,11212,39,90.3
2022-08-11,11212,33,82.9
2022-08-12,11212,39,83.9
2022-08-13,11212,28,80.8
2022-08-14,11212,33,89.3
2022-08-15,11212,30,84.4
2022-08-16,11212,34,91.7
2022-08-17,11212,29,92.4
2022-08-18,11212,39,81.5
2022-08-19,11212,27,90.9
2022-08-20,11212,34,86.4
2022-08-21,11212,30,82.7
2022-08-22,11212,29,85.9
2022-08-23,11212,29,80.1
2022-08-24,11212,45,96.3
2022-08-25,11212,29,92.5
2022-08-26,11212,30,89.7
2022-08-27,11212,31,85.2
2022-08-28,11212,27,92.2
2022-08-29,11212,33,87.8
2022-08-30,11212,27,84.5
2022-08-31,11212,45,97.7
2022-06-01,11405,29,77.1
2022-06-02,11405,37,89.0
2022-06-03,11405,29,88.1
2022-06-04,11405,38,83.7
2022-06-05,11405,34,97.2
2022-06-06,11405,21,94.1
2022-06-07,11405,42,86.5
2022-06-08,11405,29,87.6
2022-06-09,11405,25,90.3
2022-06-10,11405,30,89.5
2022-06-11,11405,36,79.4
2022-06-12,11405,49,100.4
2022-06-13,11405,34,84.4
2022-06-14,11405,30,93.3
2022-06-15,11405,25,90.0
2022-06-16,11405,33,78.3
2022-06-17,11405,25,91.0
2022-06-18,11405,22,90.4
2022-06-19,11405,35,82.7
2022-06-20,11405,46,99.5
2022-06-21,11405,28,84.5
2022-06-22,11405,24,92.4
2022-06-23,11405,38,84.4
2022-06-24,11405,26,91.8
2022-06-25,11405,32,93.9
2022-06-26,11405,43,96.8
2022-06-27,11405,28,95.5
2022-06-28,11405,24,84.1
2022-06-29,11405,30,84.2
2022-06-30,11405,23,89.9
2022-07-01,11405,33,92.8
2022-07-02,11405,21,86.6
2022-07-03,11405,28,88.8
2022-07-04,11405,29,92.0
2022-07-05,11405,42,78.1
2022-07-06,11405,29,85.3
2022-07-07,11405,27,86.0
2022-07-08,11405,29,89.8
2022-07-09,11405,39,89.1
2022-07-10,11405,38,80.7
2022-07-11,11405,41,99.3
2022-07-12,11405,34,92.4
2022-07-13,11405,28,86.3
2022-07-14,11405,21,94.2
2022-07-15,11405,26,87.5
2022-07-16,11405,32,87.1
2022-07-17,11405,29,83.6
2022-07-18,11405,25,76.0
2022-07-19,11405,31,86.3
2022-07-20,11405,21,79.6
2022-07-21,11405,30,93.5
2022-07-22,11405,33,90.6
2022-07-23,11405,27,91.2
2022-07-24,11405,22,83.0
2022-07-25,11405,30,87.1
2022-07-26,11405,31,81.2
2022-07-27,11405,32,91.3
2022-07-28,11405,39,83.4
2022-07-29,11405,38,88.4
2022-07-30,11405,29,83.6
2022-07-31,11405,40,84.8
2022-08-01,11405,40,77.6
2022-08-02,11405,31,83.1
2022-08-03,11405,27,90.1
2022-08-04,11405,25,85.8
2022-08-05,11405,30,86.9
2022-08-06,11405,32,85.6
2022-08-07,11405,26,83.4
2022-08-08,11405,34,87.0
2022-08-09,11405,24,88.4
2022-08-10,11405,37,87.3
2022-08-11,11405,33,87.2
2022-08-12,11405,25,88.2
2022-08-13,11405,36,80.1
2022-08-14,11405,38,92.8
2022-08-15,11405,40,100.2
2022-08-16,11405,20,89.5
2022-08-17,11405,22,93.0
2022-08-18,11405,34,85.8
2022-08-19,11405,25,82.9
2022-08-20,11405,30,89.4
2022-08-21,11405,22,93.0
2022-08-22,11405,30,85.5
2022-08-23,11405,34,83.0
2022-08-24,11405,38,85.5
2022-08-25,11405,38,79.6
2022-08-26,11405,32,106.1
2022-08-27,11405,26,90.5
2022-08-28,11405,34,93.1
2022-08-29,11405,29,86.9
2022-08-30,11405,33,88.9
2022-08-31,11405,33,87.3
2022-06-01,10029,38,82.9
2022-06-02,10029,28,89.5
2022-06-03,10029,30,88.1
2022-06-04,10029,25,88.5
2022-06-05,10029,45,99.8
2022-06-06,10029,27,91.8
2022-06-07,10029,34,90.0
2022-06-08,10029,25,84.1
2022-06-09,10029,35,84.9
2022-06-10,10029,32,86.1
2022-06-11,10029,31,85.9
2022-06-12,10029,28,93.2
2022-06-13,10029,28,84.9
2022-06-14,10029,38,83.7
2022-06-15,10029,27,81.5
2022-06-16,10029,28,93.7
2022-06-17,10029,24,89.7
2022-06-18,10029,27,93.0
2022-06-19,10029,27,90.6
2022-06-20,10029,27,92.8
2022-06-21,10029,24,90.5
2022-06-22,10029,31,85.1
2022-06-23,10029,30,88.0
2022-06-24,10029,25,80.3
2022-06-25,10029,15,83.3
2022-06-26,10029,31,87.1
2022-06-27,10029,30,91.3
2022-06-28,10029,35,93.6
2022-06-29,10029,29,87.0
2022-06-30,10029,33,85.9
2022-07-01,10029,23,84.7
2022-07-02,10029,33,88.5
2022-07-03,10029,29,86.6
2022-07-04,10029,35,91.3
2022-07-05,10029,37,88.4
2022-07-06,10029,34,89.3
2022-07-07,10029,28,94.8
2022-07-08,10029,27,89.3
2022-07-09,10029,24,94.7
2022-07-10,10029,30,83.2
2022-07-11,10029,16,84.1
2022-07-12,10029,36,86.7
2022-07-13,10029,28,85.5
2022-07-14,10029,27,77.5
2022-07-15,10029,34,83.8
2022-07-16,10029,27,88.0
2022-07-17,10029,25,89.9
2022-07-18,10029,23,93.1
2022-07-19,10029,31,90.2
2022-07-20,10029,29,88.6
2022-07-21,10029,33,85.3
2022-07-22,10029,34,89.8
2022-07-23,10029,24,81.7
2022-07-24,10029,33,84.5
2022-07-25,10029,36,90.5
2022-07-26,10029,35,89.4
2022-07-27,10029,32,89.9
2022-07-28,10029,27,87.8
2022-07-29,10029,21,81.4
2022-07-30,10029,28,97.2
2022-07-31,10029,35,96.9
2022-08-01,10029,22,77.9
2022-08-02,10029,38,91.2
2022-08-03,10029,23,84.3
2022-08-04,10029,23,85.6
2022-08-05,10029,36,85.1
2022-08-06,10029,46,92.4
2022-08-07,10029,28,87.0
2022-08-08,10029,31,88.9
2022-08-09,10029,36,95.7
2022-08-10,10029,23,89.0
2022-08-11,10029,24,90.0
2022-08-12,10029,31,81.5
2022-08-13,10029,29,92.1
2022-08-14,10029,41,94.8
2022-08-15,10029,31,88.3
2022-08-16,10029,31,89.1
2022-08-17,10029,28,81.5
2022-08-18,10029,30,86.8
2022-08-19,10029,29,80.3
2022-08-20,10029,35,87.5
2022-08-21,10029,27,90.3
2022-08-22,10029,31,85.6
2022-08-23,10029,42,97.2
2022-08-24,10029,25,85.5
2022-08-25,10029,40,93.9
2022-08-26,10029,26,89.7
2022-08-27,10029,37,100.2
2022-08-28,10029,38,82.3
2022-08-29,10029,32,87.5
2022-08-30,10029,38,91.1
2022-08-31,10029,38,99.5
